104,106,89
103,120,70
94,110,93
106,135,56
109,93,110
119,90,119
66,151,89
109,110,78
137,120,159
107,111,99
105,109,97
124,84,82
119,51,153
110,94,109
119,85,121
87,107,101
