116,127,57
73,89,132
142,107,142
127,106,94
105,86,119
111,110,77
105,103,89
109,110,84
105,107,93
121,88,119
141,93,78
103,104,73
122,102,88
109,93,95
87,105,119
112,129,73
103,110,94
139,157,128
106,85,118
95,109,93
74,121,101
110,111,78
105,114,87
105,87,104
125,93,95
87,122,101
104,104,87
125,95,95
89,103,118
108,93,113
74,156,53
121,105,83
139,154,116
106,123,81
105,105,102
110,93,109
89,124,88
151,87,83
78,125,110
88,105,102
111,77,116
121,121,65
89,134,87
79,109,110
103,87,106
84,152,42
95,108,124
118,136,129
136,71,95
110,92,95
88,119,104
100,72,155
126,95,92
87,121,87
127,94,94
87,134,89
118,105,88
110,93,96
120,73,117
91,105,101
82,133,52
123,151,56
122,121,66
109,109,95
121,105,85
89,121,101
145,62,94
72,98,136
141,95,77
105,86,121
90,121,87
94,125,78
120,89,103
101,106,101
66,111,110
134,120,38
108,152,130
110,82,125
151,121,53
109,78,117
103,107,78
139,72,102
93,95,108
